Species	Priority	N_act	N_compl	N_partc	N_oncur	N_nocur	N_nostr	N_obsol	N_disco	Total	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	priority_num	tot_act_comp	pct_act_comp	Comments	time_listed	time_plans	time_review	status_cat	combo_score	priority_conflict
Alabama Cave Shrimp	1	3	0	0	1	0	2	0	0	14	-1	-0.5	E	8/29/06	9/7/88	9/4/97	5	1	7.14%	0.00%	9746	6462	3181	No Change	-1.5	
Alabama Cave Shrimp	2	5	0	0	3	0	2	0	0	14	-1	-0.5	E	8/29/06	9/7/88	9/4/97	5	1	7.14%	0.00%	9746	6462	3181	No Change	-1.5	
Alabama Cave Shrimp	3	6	1	0	2	0	3	0	0	14	-1	-0.5	E	8/29/06	9/7/88	9/4/97	5	1	7.14%	0.00%	9746	6462	3181	No Change	-1.5	
Arroyo Toad	1	0	0	0	0	0	0	0	0	75	0	1	E-->T	8/17/09	12/16/94	7/24/99	8	7	9.33%	NDIV/0!	7455	5774	2097	Improve	1	
Arroyo Toad	2	64	7	22	8	1	21	5	0	75	0	1	E-->T	8/17/09	12/16/94	7/24/99	8	7	9.33%	NDIV/0!	7455	5774	2097	Improve	1	
Arroyo Toad	3	11	0	1	3	0	7	0	0	75	0	1	E-->T	8/17/09	12/16/94	7/24/99	8	7	9.33%	NDIV/0!	7455	5774	2097	Improve	1	
Bay Checkerspot Butterfly	1	18	0	0	8	0	10	0	0	47	0	-1	T-->E	8/17/09	9/18/87	9/30/98	3	0	0.00%	0.00%	10101	6071	2097	Degrade	-1	C
Bay Checkerspot Butterfly	2	20	0	1	4	2	12	0	1	47	0	-1	T-->E	8/17/09	9/18/87	9/30/98	3	0	0.00%	0.00%	10101	6071	2097	Degrade	-1	C
Bay Checkerspot Butterfly	3	9	0	0	0	0	9	0	0	47	0	-1	T-->E	8/17/09	9/18/87	9/30/98	3	0	0.00%	0.00%	10101	6071	2097	Degrade	-1	C
Black-Capped Vireo	1	7	0	1	5	1	0	1	0	31	0.5	1	E-->T	7/26/07	10/6/87	9/30/91	8	0	0.00%	0.00%	10083	8628	2850	Improve	1.5	
Black-Capped Vireo	2	20	0	9	5	4	1	1	0	31	0.5	1	E-->T	7/26/07	10/6/87	9/30/91	8	0	0.00%	0.00%	10083	8628	2850	Improve	1.5	
Black-Capped Vireo	3	4	0	2	0	1	0	1	0	31	0.5	1	E-->T	7/26/07	10/6/87	9/30/91	8	0	0.00%	0.00%	10083	8628	2850	Improve	1.5	
Bluetail Mole Skink	1	0	0	0	0	0	0	0	0	22	0	0	T	8/2/07	11/6/87	5/18/99	3	0	0.00%	NDIV/0!	10052	5841	2843	No Change	0	C
Bluetail Mole Skink	2	7	0	0	5	0	2	0	0	22	0	0	T	8/2/07	11/6/87	5/18/99	3	0	0.00%	NDIV/0!	10052	5841	2843	No Change	0	C
Bluetail Mole Skink	3	15	0	0	13	0	2	0	0	22	0	0	T	8/2/07	11/6/87	5/18/99	3	0	0.00%	NDIV/0!	10052	5841	2843	No Change	0	C
Borax Lake Chub	1	6	4	1	0	0	0	1	0	21	0	0.5	E-->T	8/23/12	5/28/80	2/4/87	2	8	38.10%	66.67%	12770	10327	995	Improve	0.5	
Borax Lake Chub	2	8	2	0	5	0	0	1	0	21	0	0.5	E-->T	8/23/12	5/28/80	2/4/87	2	8	38.10%	66.67%	12770	10327	995	Improve	0.5	
Borax Lake Chub	3	7	2	0	5	0	0	0	0	21	0	0.5	E-->T	8/23/12	5/28/80	2/4/87	2	8	38.10%	66.67%	12770	10327	995	Improve	0.5	
CA Least Tern	1	4	0	0	4	0	0	0	0	106	1	1	E-->T	9/26/06	6/2/70	9/27/85	15	3			16418	10822	3153	Improve	2	C
CA Least Tern	2	62	2	1	36	4	9	4	0	106	1	1	E-->T	9/26/06	6/2/70	9/27/85	15	3			16418	10822	3153	Improve	2	C
CA Least Tern	3	40	1	1	20	4	6	1	2	106	1	1	E-->T	9/26/06	6/2/70	9/27/85	15	3			16418	10822	3153	Improve	2	C
Chihuahua Chub	1	2	0	1	1	0	0	0	0	12	0	-1	T-->E	1/13/10	12/11/83	4/14/86	5	1	8.33%	0.00%	11478	10623	1948	Degrade	-1	
