Species	Demography	Threat	Recommendation
Moccasinshell, Ochlockonee (Medionidus simpsonianus)	-1	-1	No change
Moccasinshell, Gulf (Medionidus penicillatus)	-1	-1	No change
Slabshell, Chipola (Elliptio chipolaensis)	-1	-1	No change
Mouse, St. Andrew beach U.S.A.(FL) (Peromyscus polionotus peninsularis)	0.5	-1	No change
Pigtoe, oval (Pleurobema pyriforme)	-1	-1	No change
Pocketbook, shinyrayed (Lampsilis subangulata)	-1	-1	No change
Bankclimber, purple (mussel) (Elliptoideus sloatianus)	0	-1	No change
Threeridge, fat (mussel) (Amblema neislerii)	-1	-1	No change
Mouse, Perdido Key beach Entire (Peromyscus polionotus trissyllepsis)	1	0	No change
Kite, Everglade snail FL pop. (Rostrhamus sociabilis plumbeus)	-0.5	-0.5	No change
Manatee, West Indian Entire (Trichechus manatus)	1	-0.5	Downlist
Plover, piping except Great Lakes watershed (Charadrius melodus)	0.5	0	No change
Sturgeon (Gulf subspecies), Atlantic Entire (Acipenser oxyrinchus (=oxyrhynchus) desotoi)	0.5	0	No change
sandshell, Southern (Hamiota australis)	-1	-1	N/A
Rice rat lower FL Keys (Oryzomys palustris natator)	0.5	0	No change
Mouse, Choctawhatchee beach Entire (Peromyscus polionotus allophrys)	-1	-1	No change
salamander, Reticulated flatwoods Entire (Ambystoma bishopi)	-1	-1	Revision
Salamander, frosted flatwoods Entire (Ambystoma cingulatum)	-1	-1	Revision
Sparrow, Cape Sable seaside Entire (Ammodramus maritimus mirabilis)	-1	-1	No change
Kidneyshell, southern (Ptychobranchus jonesi)	-1	-1	N/A
Ebonyshell, round (Fusconaia rotulata)	-1	-1	N/A
Pigtoe, tapered (Fusconaia burkei)	-1	-1	N/A
Bean, Choctaw (Villosa choctawensis)	-1	-1	N/A
Pigtoe, narrow (Fusconaia escambia)	-1	-1	N/A
Pigtoe, fuzzy (Pleurobema strodeanum)	-1	-1	N/A
Butterfly, Bartram's hairstreak (Strymon acis bartrami)	-1	-1	N/A
Butterfly, Florida leafwing (Anaea troglodyta floridalis)	-1	-1	N/A
Snake, Atlantic salt marsh Entire (Nerodia clarkii taeniata)	-1	-0.5	No change
Butterfly, Schaus swallowtail Entire (Heraclides aristodemus ponceanus)	-0.5	0.5	No change
Mouse, Anastasia Island beach Entire (Peromyscus polionotus phasma)	0	-0.5	No change
Skink, bluetail mole Entire (Eumeces egregius lividus)	NA	-0.5	No change
Rabbit, Lower Keys marsh FL (Sylvilagus palustris hefneri)	-1	-0.5	No change
Mouse, southeastern beach U.S.A.(FL) (Peromyscus polionotus niveiventris)	0	0	No change
Skink, sand Entire (Neoseps reynoldsi)	NA	-0.5	No change
Darter, Okaloosa Entire (Etheostoma okaloosae)	1	1	Downlist
Bat, gray Entire (Myotis grisescens)	-1	-1	No change
Panther, Florida (Puma (=Felis) concolor coryi)	-1	-1	No change
Stork, wood AL, FL, GA, MS, NC, SC (Mycteria americana)	1	0.5	Downlist
Bat, Indiana Entire (Myotis sodalis)	-1	-1	No change
Woodpecker, red-cockaded Entire (Picoides borealis)	1	0.5	No change
Shrimp, Squirrel Chimney Cave Entire (Palaemonetes cummingi)	NA	-1	No change
Snail, Stock Island tree Entire (Orthalicus reses (not incl. nesodryas))	-0.5	0.5	No change
Vole, Florida salt marsh Entire (Microtus pennsylvanicus dukecampbelli)	NA	-0.5	No change
Deer, key Entire (Odocoileus virginianus clavium)	0	-0.5	No change
Woodrat, Key Largo Entire (Neotoma floridana smalli)	-1	-1	No change
Sparrow, Florida grasshopper Entire (Ammodramus savannarum floridanus)	-1	-0.5	No change
Tern, roseate Western Hemisphere except NE U.S. (Sterna dougallii dougallii)	-0.5	-0.5	No change
Snake, eastern indigo Entire (Drymarchon corais couperi)	-1	-1	No change
scrub-jay, Florida Entire (Aphelocoma coerulescens)	-1	-1	No change
Butterfly, Miami Blue (Cyclargus (=Hemiargus) thomasi bethunebakeri)	-1	-1	N/A
bat, Florida bonneted (Eumops floridanus)	-1	-1	N/A
Knot, red (Calidris canutus rufa)	-1	-1	N/A
Mouse, Key Largo cotton Entire (Peromyscus gossypinus allapaticola)	-0.5	-0.5	No change
Caracara, Audubon's crested FL pop. (Polyborus plancus audubonii)	-1	0	No change
